i,t,m,Aceite Vegetal,Aguacates,Ahí Verde,Ajo,Alimento Infantil,Apio,Arroz,Arvejas,Azúcar,Café Y Té,Carne De Res,Carnes De Puerco,Cebolla,Cereales Y Cremas,Cervezas,Chocolates,Cigarrillo Y Tabaco,Cocos (Pipas),Condimentos,"Culanto, Perejil, Cebollina",Embutidos,Enlatados Y Envasados,Frijoles,Galletas / Pasteles Y Dulces,Gelatinas,Guineos (Bananos),Harina De Trigo,Helados,Huevos De Gallina,Lecha Evaporada,Leche En Polvo,Leche Líquida,Lechuga,Lentejas,Licores Varios,Limones,Mangos,Manteca,Mantequilla,Manzanas,Margarina,Mariscos,Mayonesa,Maíz De Grano,Maíz De Mazorca,Melones,Miel,Naranjas,Otoes,Otros,Pan De Sal Y Pan De Dulce,"Panela, Raspadura, Etc",Papas,Papayas,Pastas Alimenticias,Pastas De Tomate,Pastillas Y Confites,Pepino,Pescados,Picaritas,Piñas,Plátanos Verdes,Pollo O Gallina,Porotos,Preparación De Maíz,Primer otro,Queso (Blanco Y Amarillo),Raspados Y Duros,Remolacha,Repollo,Sal,Sandias,Sardina Y Atún,Segundo otro,"Sodas, Refrescos Y Jugos",Sopa Enlatada,Tercer otro,Tomate,Viscera De Res,Visceras De Pollo O Gallina,Yuca,Zanahoria,Zapallo / Chayote,Ñame
20032536,2003,Veraguas,1.980000019,,1.200000048,0.25,,0.25,7.5,,1.350000024,1.799999952,6,1.25,1.5,3.200000048,,,,,0.5,,1.5,,1.5,0.8000000119,,0.3000000119,1.049999952,,,5.400000095,,0.5,0.25,1.200000048,,,,,,1.25,0.3000000119,,0.6499999762,,,,,,,,3.5,,1.049999952,,2.200000048,2.730000019,,,2.5,,,0.3000000119,5.5,1.399999976,,,3,,0.3000000119,0.5,0.5,,0.6999999881,,1.600000024,,,1.200000048,1.399999976,,,0.5,,1
20032537,2003,Veraguas,1.350000024,,0.25,0.25,,0.25,0.7799999714,,1.080000043,1.25,6,3,0.6000000238,1.600000024,,,,,0.5,,1.5,,1,2.5,,,,,,2.480000019,,,,1.799999952,,,,,,,0.6000000238,,,,,,,,,,3.75,,,,,1.659999967,1,,2,0.4499999881,,,8.800000191,2,,,3,,,,0.5,,1.5,,2,0.349999994,,0.6000000238,,5.900000095,,,,
20032538,2003,Veraguas,2.25,,0.5,0.25,,0.25,9,1.049999952,1.850000024,1.5,10.5,5,0.400000006,,,0.8000000119,,,0.5,,3,,,0.6000000238,,0.5,,0.75,1,2.960000038,4.699999809,,,2.400000095,,,,,,,,,0.6999999881,,,,,,,,3,,1,,2.200000048,5,1.5,,1.5,,,1,6.599999905,3.200000048,,,6,0.6000000238,,,1,,,,2,0.6999999881,,,,4,,,,
20032539,2003,Veraguas,2.900000095,,0.5,0.5,,1.200000048,3,2.099999905,6.75,1.5,33,24,0.6000000238,1,,2.25,,,0.5,,11.25,,3,1.5,1.799999952,5,1.5,3.75,4.5,1.799999952,24.21999931,3.75,,3,,,,,,,1,6,0.8500000238,2.5,,,,,0.8000000119,,7.5,7,2.400000095,,1.100000024,2.25,1.5,1.200000048,3,2.5,,6,6.599999905,3.900000095,2,,5.300000191,,,,1.75,,2,,2.700000048,1.75,,1.200000048,1.200000048,1,,,0.5,2.099999905
2003254,2003,Veraguas,9,,,0.400000006,,,6,,4.5,11.25,,,1,3,,,,,0.5,,1.399999976,,,1,,0.75,1.5,2.5,2,,,,,0.5,,,,,0.5,,,,,,,,,,,,8.5,,,,0.8999999762,,0.25,,,0.6000000238,,1,2,0.8999999762,,,3,3,,,0.6999999881,,1.049999952,,1,1.399999976,,,,,,,,
20032540,2003,Veraguas,2,,0.400000006,0.5,,0.200000003,7.5,0.8999999762,3.450000048,1.559999943,9,2,0.8000000119,0.5,,,,,0.5,,1.5,,1.5,1,,1,,1.450000048,0.3000000119,,6.989999771,,,1.799999952,,,,,0.3000000119,,,,0.6999999881,,,,,,,,6,,,,2,0.9599999785,0.5,0.400000006,2.5,,,1,6.599999905,2.599999905,,,1,,,,0.8999999762,,3,,1,1.25,,,,3,,,,1.600000024
20032541,2003,Los Santos,2.150000095,,,,,,1.75,,0.6999999881,1.5,8.5,6.25,,,3,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.3000000119,,,,,1,,,,,2.25,,,,,,1.600000024,,,0.349999994,,,,,,,,0.8000000119
20032542,2003,Los Santos,2.829999924,,,,,,,,1.5,2.440000057,6,11.10000038,1.5,0.7400000095,,,,,,,1,,0.5500000119,1,,,0.3000000119,,,1.75,,,,0.6000000238,,,,,0.6299999952,0.5,,,0.8999999762,,,,,,,,1,,1.049999952,,0.5,3.5,,,,,,0.5,,,1,,2,,,0.4499999881,0.25,,0.349999994,,1,0.349999994,,,,,,0.6000000238,,
20032543,2003,Los Santos,,,,,,,,,1.049999952,1.799999952,7.5,7.5,1.5,,,,,,,,,,1.200000048,3,,,1.399999976,,,0.8000000119,,,,1.200000048,,,,,,,,,,,,,,,,,0.5,,1,,2.799999952,,,,,0.150000006,,1,,1.799999952,,,2.099999905,0.5,,,0.5,,,,2.5,0.6999999881,,,,,,1.399999976,,
20032545,2003,Los Santos,,,,,0.6999999881,,,,0.3000000119,,7.5,6,1.399999976,0.75,,,,,,,,,0.6000000238,,,,0.349999994,,,0.349999994,,,,0.6000000238,,,,,,,,,,,,,,,,,0.5,,0.5,,0.5,,,,,,,,,0.8999999762,,,,,,,0.75,,0.6499999762,,,0.400000006,,,,,,,,
20032546,2003,Los Santos,2.440000057,,,1,,,,0.6000000238,1.25,,8.25,,1.799999952,2.349999905,,,,,,,1,,0.5,,0.6000000238,,,,,3.359999895,,,,1.200000048,,,,,1.350000024,1.25,,,,,4,,,,,,1.5,,1.75,,0.5400000215,2.5,,,,,,1,3.450000048,1.399999976,,,2.980000019,,,,,,0.6499999762,,1.25,0.6999999881,,,,,,1.200000048,,3.200000048
20032547,2003,Los Santos,1,,,1,,,4.5,,3,,,5,2,,,,0.5,,,,0.8999999762,,,1,,,1.5,,,0.6999999881,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.25,,,,,,2.5,,,,,,,,0.5,,,,1,,,,,,,,,
20032549,2003,Los Santos,,,,,,,,,0.6000000238,0.5,3.299999952,,,1.5,,,,,,,,,0.5,1,,,,,,1.200000048,,,,0.6000000238,,,,,,,,,,,,,,,,,1,,0.6999999881,,1,0.75,,,,,,,0.8999999762,0.8999999762,,,,,,,0.25,,3.25,,1,0.6999999881,,,,,,,,
20032550,2003,Los Santos,2.109999895,,1.200000048,0.4499999881,,,5.550000191,,3.549999952,2.599999905,12,8,0.8999999762,1,,,,,,,1.590000033,,0.5,0.75,,1,,,,1.399999976,,4,,2.799999952,,,,,,,0.8500000238,,,1,,,,,,,0.5,,1.600000024,,0.6499999762,3.130000114,,0.8000000119,,,,2.5,,1.600000024,,,4.800000191,,,,0.25,,,,2.25,1.399999976,,2.099999905,,,1.799999952,1.559999943,0.400000006,
20032551,2003,Veraguas,,,,0.5,,,,,1.25,2.25,4.78000021,,1.5,,,,0.5,,0.3000000119,,0.8999999762,,2,0.400000006,,,,,,,,0.75,,1.799999952,,,,,,,,,,,,,0.75,,,,0.5,3.75,,,,0.6999999881,,,5,,,0.5,,2.400000095,,,0.3000000119,,,,0.25,,,,0.75,0.3700000048,,,,,,,,
20032552,2003,Veraguas,,,,,,,2.700000048,,0.5,1.5,4,2,0.200000003,,,,,,,,,,,0.5,,,,,,,,,,0.6000000238,,,,,,,,,,,,,,,,,0.75,,,,,,,,1,0.6000000238,,,,,,,,1,,,0.25,,0.6499999762,,1.5,,,,,,,,,
20032553,2003,Veraguas,1.5,,,0.200000003,,,1.200000048,,0.5,2.599999905,3.5,,0.5,,,,,,,,,,0.25,0.3000000119,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0.349999994,,,0.6999999881,,,,,,,,,,,,0.25,,,,0.75,,,,,,,,,
20032554,2003,Veraguas,1.5,,,0.25,,,1.5,,1,2.25,2.799999952,,0.5,,,,2.5,,0.3000000119,,0.400000006,,1.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.349999994,,,1,,,,3,,,,,,,,0.5,,,,,,,,,,,,,
20032556,2003,Veraguas,1.5,,,0.25,,,21,,1.5,2.25,3.200000048,,0.5,,,,,,0.3000000119,,,,0.5,0.5,,,0.3000000119,,0.6999999881,0.349999994,,,,0.6000000238,,,,,,,0.200000003,,,,,,,,,,1,,1,,1.5,1.049999952,0.150000006,,,0.75,,0.400000006,,1.600000024,,,,0.5,,0.5,0.75,,0.6499999762,,,0.6999999881,,0.5,,,,0.25,,
20032557,2003,Veraguas,0.3000000119,,,0.150000006,,,1.5,,0.25,1.350000024,2,,,,,,,,,,0.3000000119,,2,,,,,,,,,,,0.6000000238,,,,,,,,1.5,,,,,,,,,0.400000006,,,,,,,,1,,,,1,0.8000000119,,,,,,,0.25,,0.5,,,,,,,,,,,
20032558,2003,Veraguas,0.3000000119,,,0.150000006,,,2.400000095,,0.5,1.5,,,0.5,,,,,,0.400000006,,,,1.5,,,,,,,,,,,0.6000000238,,,,,,,,,,,,,,,,,0.6999999881,,,,,,,,1.75,,,,,0.400000006,,,,,,,0.25,,,,,2.450000048,,,,,,,,
20032559,2003,Veraguas,1.399999976,,,0.3000000119,,,12,,3,1.25,,,0.5,0.2399999946,,,,,0.150000006,,1.200000048,,0.5,0.3000000119,,,,,,,,,,0.6000000238,,,,,,,0.1000000015,,,,,,,,,,1,,,,1.5,0.349999994,,,,,,,3,0.6000000238,,,,,,,0.5,,1,,,0.349999994,,,,,,,,
2003256,2003,Veraguas,,,,0.25,,0.25,,,1,1.5,1.600000024,,,,,,,,0.25,,0.5,,,,,,,,,,,,,0.6000000238,,,,,,,,,,,,,,,,,0.75,,,,,,,,0.5,,,,2,0.5,,,0.200000003,,,,0.5,,,,,,,,,,,,,
20032560,2003,Veraguas,1,,,0.5,,0.25,,,1,2.25,,,1,,,,,,0.1000000015,,,,0.5,0.3000000119,,0.400000006,,,1.200000048,5.25,,,,0.6000000238,,,,,,,,2.5,,,,,,,,,0.1000000015,,1,,,0.5500000119,,,,0.4499999881,,,,0.8000000119,,,,0.400000006,,,0.5,,0.6499999762,,1.5,,,,,,,,,
20032561,2003,Veraguas,1.399999976,,,0.3000000119,,,4.5,,1.5,2.25,3,,0.5,,,,,,,,,,1.5,,,,,,,,,,,1.200000048,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,0.8000000119,,,,,,,0.25,,,,,,,,,,,,,
20032562,2003,Los Santos,2.700000048,,0.5,0.400000006,,0.3000000119,6,0.349999994,1.549999952,1.649999976,4.949999809,6.25,1.200000048,5.25,,,,,1.649999976,,8.5,1.299999952,,,,0.5,1.049999952,,2,2.099999905,,2.799999952,,1.600000024,,,,,0.5,,0.5,,2,0.75,,,,,,,4,,2,,,0.8000000119,,,,,,1,5.400000095,0.8999999762,,,4.5,1,,,0.25,,1.950000048,,5,,,0.400000006,,,,,,1.600000024
20032563,2003,Veraguas,0.8500000238,,,0.25,,0.200000003,9,,0.75,1.149999976,4,3.75,0.5,,,,,,0.200000003,,,,0.5,0.3000000119,,,,,,0.6999999881,,,,,,,,,,,,,,,,,,,,,2,,,,,0.5799999833,,,1,,,,4,0.8000000119,,,0.5,0.6000000238,,,0.75,,1.5,,0.5,,,,,,,,,
20032564,2003,Los Santos,,,0.25,0.349999994,,0.3000000119,7,,1.5,3.299999952,,,0.5,,,,,,,,,,1,,,,2.099999905,,,,,,,1,,,,,0.25,,,,3.25,1.25,,,,,,,,,,,1.299999952,1.200000048,,,,,,1,,1.299999952,,,2,,,,0.25,,,,,,,,,,,0.25,,
20032565,2003,Los Santos,2.700000048,,0.5,0.349999994,,,21,0.5,2.170000076,3,10,10,0.6000000238,,,,,,,,4,,2.400000095,,,0.3000000119,,,2.400000095,,7.199999809,,,2.799999952,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,1,8,0.8000000119,,,2,,,,1.25,,3,,,,,,,,2.5,,,
20032566,2003,Veraguas,2.49000001,,,0.5,,,,,0.5,,,,,1,,,,,0.200000003,,0.4499999881,,,,,,,,,1.200000048,,,,1,,,,,,,,,,,,,,,,,1,,1.200000048,,0.5,0.3000000119,,,3,,,,2.700000048,2.099999905,,,,,,,,,,,,,,,,,,,,
20032567,2003,Veraguas,0.5,,,0.5,,,,,3,1,2,10,1.200000048,,,,,,,,,,3.5,,,,,,,,,0.25,,2,,,,,,,,,,,,,,,,,0.25,,,,,,,,2,,,,,2.099999905,,,,,,,0.200000003,,0.6000000238,,,,,,,,,,,
20032568,2003,Veraguas,,,,,,,,,0.75,1.700000048,,5,0.5,,,,,,0.200000003,,1.720000029,,1,,,,,,,,1.25,,,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,0.25,,,,0.25,,,,,,,,,
20032569,2003,Veraguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003257,2003,Veraguas,2.089999914,,,0.400000006,,,14,0.8000000119,2.700000048,1.5,8,,2.700000048,,,,,,0.200000003,,1,,1,,,,,,,1.049999952,,,,1.200000048,,,,,,,,,,,,,,,,,1,,0.8999999762,,,,,,1,,,,4,1.200000048,2.5,,1,0.5,2.5,1,1,,1.950000048,,,1.049999952,,2.5,,,,0.400000006,,
20032570,2003,Veraguas,0.6000000238,,,0.6000000238,,,,,0.75,0.6000000238,4.199999809,,0.25,0.200000003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.6000000238,,,,,,,,,,,
20032571,2003,Veraguas,,,,,,,3,,0.75,1.799999952,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
20032572,2003,Veraguas,2.5,,,,,,,,0.75,1.649999976,5.599999905,13,0.5,,,,,,0.3000000119,,1.149999976,,,,,,,,,0.6999999881,,,,,,,,,,,,,,,,,,,,,0.6000000238,,,,,0.6999999881,,,2,,,,,1.399999976,,,1,0.5500000119,,,1.25,,,,,,,,,,,0.6499999762,,
20032573,2003,Veraguas,,,,,,,4.5,,1,0.75,,3.599999905,1,,,,,,,,1.200000048,,,,,,,,,2.099999905,,,,,,,,,,,,,,,,,,,,,0.25,,,,,2.049999952,,,,,,,,,,,0.6000000238,,,,0.5,,1.100000024,,,0.349999994,,,,,,,,
20032574,2003,Los Santos,1.950000048,,0.25,,,,,,0.6399999857,2.690000057,,1.75,0.349999994,,4.800000191,,,,,,,1,,0.8999999762,,,,,,0.9499999881,,,,,,,,,,,0.25,,,,,,,,,,10,,,,1.299999952,1.299999952,,0.200000003,,,,1.450000048,,,,,,0.6000000238,,,,,1,,2.5,0.75,,0.8500000238,,,,,,
20032575,2003,Los Santos,2.75,,,0.25,,0.3000000119,,,1.350000024,3.5,18,2.75,1.200000048,3.049999952,40,,0.25,,0.6499999762,,4.650000095,,1.200000048,1,1.200000048,,0.6000000238,2.849999905,,,7.349999905,,0.5,1.200000048,7,,,,0.400000006,1,,,0.6499999762,,,,,,,,1,,0.8000000119,,,1.399999976,1.5,0.150000006,3,1.600000024,,,,1.600000024,0.5,,1.200000048,,,0.25,0.5,,0.6499999762,,1.600000024,0.6999999881,,2,,,,0.400000006,,
20032576,2003,Veraguas,2.25,,,,,,7.25,,1.799999952,2.400000095,,5,0.8999999762,,,,,,,,,,2.700000048,,,,,,2,,6.75,0.25,,1.5,,,,,,,,,,,,,,,,,,,,,,2.099999905,,,2.400000095,,,,,1.399999976,1,,,,,,0.5,,7.699999809,,,,,,,,,,,
20032577,2003,Veraguas,1.25,,,0.400000006,,,,,1.080000043,1.299999952,6.400000095,,3.75,,,,,,,,,,1.799999952,,,,,,,,,,,1.950000048,,,,,,,,,,,,,,,,,,,,,0.5500000119,2.049999952,,,,,,,4,3.75,0.5,,,,,,0.5,,4.199999809,,,1.600000024,,,,,,,,
20032578,2003,Veraguas,1,,,0.400000006,,,,,4.050000191,1.5,,5,0.8000000119,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,1.049999952,,,2,,,,12,2.099999905,,,,,,,0.5,,,,,,,,,,,,,
20032579,2003,Veraguas,1.25,,,,,,,,1.620000005,1.5,,,0.5,,,,,,,,,,,,,,,,,,,1.5,,3,,,,,,,,,,,,,,,,,,,,,,0.6999999881,,,,,,,,2.549999952,,,,,,,0.25,,2.5,,,0.349999994,,,,,,,,
2003258,2003,Veraguas,1.049999952,,,0.400000006,,,7.25,,5,4.5,3.200000048,5,0.5,,,,,,0.25,,,,0.5,0.8000000119,,,,,,0.6999999881,4.699999809,1.360000014,,0.6000000238,,,,,,,,,,,,,,,,,1,,0.400000006,,0.3000000119,0.6999999881,,0.200000003,2,,,1.5,4,0.5,,,,,,0.25,1,,,,,,,1,2.5,,,0.3000000119,,
20032580,2003,Veraguas,0.8000000119,,,0.349999994,,,,,0.8100000024,1.5,,,1,0.8000000119,,,,,0.3000000119,,,,1,,,,0.6999999881,,,,7.050000191,2,,1.799999952,,,,,,,,,,,,,,,,,,,1.600000024,,,1,,,1.200000048,,,,,1.5,,,,,,,0.25,,,,,0.7400000095,,,,,,,,
20032581,2003,Veraguas,1.25,,,0.400000006,,,,,1.25,1.5,,,0.6999999881,2,,,,,0.200000003,,,,,,,,,,,1.75,,,,1.799999952,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2.099999905,,,,,,,0.5,,7.599999905,,,0.400000006,,,,,,,,
20032582,2003,Veraguas,2.400000095,,,0.6000000238,,,,,2.700000048,3,15,10,0.5,,,,,,1,,,,,,,,1.850000024,,2,,,0.75,,1.200000048,,,,,,,,,,,,,,,,,,,,,3,5.25,,,30,,,,,3.200000048,,,,,,,1.75,,2.200000048,,,,,,,,,,,
20032583,2003,Veraguas,1.600000024,,,,,,,,1.350000024,1.5,2.900000095,7,0.5,1,,,,,,,,,,,,,,,,,,3.75,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1.5,,,,,,,0.5,,,,,0.3700000048,,,,,,,,
20032586,2003,Los Santos,4,,0.6999999881,0.25,,,7.5,,0.8100000024,1.299999952,,1.799999952,1.5,1,,,,0.8999999762,0.1000000015,,,,4,,,0.150000006,0.4499999881,,,,,3,,0.5,,,,,1,1.25,,,,,,,,,,,7.5,,,,1.200000048,1.080000043,,0.5,8,,,0.5,5.25,2.400000095,1.049999952,,2,,,,0.9800000191,,1.950000048,,1,0.349999994,,0.5,,,,,,
20032587,2003,Los Santos,2,,,,,,6.989999771,,1.5,1.299999952,5,7,0.8999999762,0.8999999762,,,,,,,,,2.599999905,0.3000000119,1.590000033,0.5,1,2.480000019,2,1.980000019,,1.5,,,,,,,,,,,,,,,,,,,0.5,,1.049999952,,2.400000095,2.099999905,,,,,,1,13.75,3.200000048,2.450000048,,3.980000019,,,,1,,1.549999952,,1,,,,,,,,,2
20032588,2003,Los Santos,,,,,,,,0.3000000119,0.2700000107,2.25,,,,,,,,,,,,,,0.8999999762,,0.1000000015,,,,0.349999994,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.349999994,,,,,,,,,,,,,,,,,,,
20032589,2003,Veraguas,,,,,,,1.5,,0.5,0.8000000119,1.25,,0.6000000238,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.400000006,,,,,,,,0.5,,,,,,,,,,,,,,,,0.25,0.349999994,,,,,,,,
2003259,2003,Veraguas,1.149999976,,,0.3000000119,,,4.5,,0.8100000024,0.5,1.600000024,8,0.400000006,,,,,,0.5,,0.5,,,,0.4499999881,0.1000000015,,0.25,0.6000000238,,,,,1.350000024,,,,,,,,,,,,,,,,,1,,0.6000000238,,0.5199999809,0.6999999881,,0.6000000238,1,,,0.200000003,1,1.600000024,0.5,,0.6000000238,,,,0.25,,0.6000000238,,0.75,,,,,,,0.349999994,,
20032590,2003,Veraguas,0.200000003,,,,,,,,0.25,0.400000006,4.5,,,,,,,,0.200000003,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.349999994,,,,,,,,,,,,,,,,,,,,0.349999994,,,,,,,,
20032591,2003,Los Santos,1,,0.5,,,,7.25,1,0.5,1.25,2,,0.5,,,,,,,,,,1,,,,,,2,,,7.5,,1,,,,,,,,,,,,,,,,,3.75,,,,,,,,2,,,,5,1.5,,,,,,,,,,,,,,0.5,,,,,,
20032592,2003,Veraguas,,,,,,,,,0.25,1.5,,,0.25,0.3000000119,,,,,,,,,1,,,,0.349999994,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.200000003,,,,,0.349999994,,,,,,,,
20032593,2003,Veraguas,,,,,,,1.5,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20032594,2003,Veraguas,,,,,,,1.5,,0.25,0.6000000238,,,0.25,,,,,,0.200000003,,,,0.6000000238,,,,,,,,,,,1.200000048,,,,,,,,,,,,,,,,,0.5,,,,1,,,,1.5,,,,,1.200000048,,,,,,,0.1000000015,,1,,,0.349999994,,,,,,,,
20032597,2003,Los Santos,3,,0.5,0.8999999762,,,13.5,,0.9900000095,1.25,8.25,8.25,1.5,1.389999986,13.19999981,,,0.8999999762,0.05000000075,0.25,2,2.039999962,,,0.4300000072,0.4499999881,,,1,3.710000038,,,1,1,,,,,,1,,,0.5799999833,,0.3000000119,,,1,,,9.600000381,,1,,,2.539999962,,0.3000000119,2.599999905,,,1.200000048,10.19999981,1.5,1.799999952,,6,,,,,,1.649999976,,0.75,1.860000014,,0.6499999762,,,0.3000000119,0.6000000238,,2.450000048
20032598,2003,Los Santos,1.700000048,,0.3000000119,1.080000043,,,14.5,0.8999999762,1.860000014,,3.799999952,,3.200000048,0.8999999762,,,,,1.200000048,,2,,1.200000048,,,0.1000000015,0.8999999762,,,2.099999905,,,,1.200000048,,,,,,,,,,,,,1,,,,0.5,,0.400000006,,0.8399999738,4,0.3000000119,,6,,,,5.699999809,1.899999976,0.75,,,1,,,1,,6,,0.5,,,,,2,,,,
20032599,2003,Los Santos,1.75,,,,,,,,0.6999999881,,,,1.200000048,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,,,,1,,,1,,0.5,,,,,,,,,1,,,,,,,,
2003260,2003,Veraguas,,,,,,,3,,1.25,1.200000048,7.5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,0.5,,,,,,,,,,,,,
20032600,2003,Los Santos,,,,,,,,,,,,,,,10,,,0.5,,,,,,1.5,,0.200000003,,0.5,,,,1.25,,,,,,,,,,,,,,,,,,,2.799999952,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,
20032601,2003,Veraguas,2.200000048,,,0.349999994,,,7.25,,1.840000033,1.350000024,13.19999981,,0.400000006,0.5899999738,,2.900000095,,,,,9,,1.399999976,3,,,,,2.400000095,2.480000019,,9.149999619,0.6000000238,1.200000048,,,,,,1,,,0.6499999762,,,,,,0.400000006,,5,,0.400000006,,1.5,1.830000043,,,2.5,0.75,1,1,7.199999809,1.399999976,,,1.039999962,2,,,0.5,,2.700000048,,1.25,,,0.6999999881,,,,0.6499999762,,
20032602,2003,Veraguas,2.089999914,,,,,,7.199999809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,0.4499999881,,,6,,,,2.75,,,,,,,,,,,,,,,,,0.8000000119
20032603,2003,Veraguas,,,,,,0.25,4.5,,0.75,1.5,5,,,,,,,,,,2.25,,,,,3,0.3000000119,,,,,2.440000057,,0.5600000024,,,,,,,,,1.950000048,,,,,,,,3.75,,1,,,,,,,0.75,,0.6000000238,7,,1.75,,1.5,1,,,,,1.299999952,,3,,,,,,,0.5,,
20032604,2003,Veraguas,2.400000095,,,0.5,,0.3000000119,7.25,,1.350000024,1.5,1.600000024,6,0.6000000238,,,,,,0.75,,1,,1,,,0.200000003,,,0.200000003,,4.699999809,,,1.799999952,,,,,,,,,,9,,,,,,,6,,0.8000000119,,0.6000000238,1.299999952,,,2,,,0.5,8,1.799999952,,,0.400000006,0.6999999881,,,0.25,,0.6600000262,,0.75,,,,,,,0.6000000238,,
20032605,2003,Veraguas,1.070000052,,,,,,18.60000038,0.6000000238,2,0.6000000238,3.599999905,3.299999952,1.200000048,0.6800000072,,,,,,,1.5,,1.5,1.200000048,,,,0.25,1,3.099999905,5.449999809,,,1.799999952,,,,,,,0.25,,1.529999971,,,,,,,,1,,1.200000048,,0.5,0.6600000262,,,2.400000095,0.75,,,5,2.900000095,,,1.200000048,0.6000000238,,,,,,,,,,,,,,,,0.8000000119
20032606,2003,Veraguas,0.8000000119,,0.6499999762,0.6000000238,,0.5500000119,3,,0.6999999881,0.75,4.5,,0.5,0.7400000095,,,,,1,,1.639999986,1.299999952,1,1,,0.5,,0.75,0.5,1.049999952,,1.220000029,,,,,,,,1,,,1.379999995,,,,,,0.400000006,,1.25,,1.200000048,,1,1.049999952,,,,,,,5.75,,,,1,,,1.200000048,,,,,0.4499999881,,,1.799999952,,,,0.6999999881,,0.8000000119
20032607,2003,Veraguas,0.8000000119,,,,,,7.5,,,,,,,,16,1,,,,,2.25,,,,,0.200000003,,1.649999976,,,10.23999977,,,,,,,,0.25,0.25,,,,,,,,,,,1.799999952,,,,,0.5600000024,0.5,,,0.3000000119,,,,,,,,,,0.6000000238,0.25,,,,1.149999976,0.349999994,,,,,,,,
20032608,2003,Veraguas,2.099999905,,,,,,22.5,,2,1.600000024,9.600000381,5,1,,,,,,,,3.900000095,,1,,1.200000048,0.75,0.8000000119,1.649999976,,1.100000024,,1.799999952,,0.5,,,,,,1,0.25,,1.299999952,,,,,,1.200000048,,5,,4,,1.080000043,,,,4,1,,,,1.600000024,0.6000000238,,3,1,,,,,1.149999976,,2.5,,,,,,,0.5,,1
20032609,2003,Veraguas,2.349999905,,,0.6000000238,,,7.5,0.6000000238,0.5,2.400000095,9.399999619,,0.75,0.7400000095,,,,,0.25,,1.850000024,2.720000029,1.100000024,,,,0.6000000238,,0.8000000119,1.860000014,,0.5,,1.24000001,,,,,,,,,0.6499999762,,,,0.5,,,,5,,,,0.5500000119,2.349999905,,,3,0.75,,,3,1.460000038,,,0.6000000238,0.6000000238,,,0.25,,1.049999952,,1.25,0.6999999881,,,1.200000048,1.75,,,,
20032610,2003,Veraguas,1.350000024,,,,,0.5,4.5,0.4499999881,0.8100000024,1,7.800000191,,0.400000006,0.4499999881,,,,,0.25,,1.639999986,0.8999999762,1.100000024,0.6999999881,,0.5,0.3199999928,1.5,,2.24000001,,,,0.8999999762,,,,0.5,,1.25,,,,,,,,1,,,0.75,,0.8000000119,,,1.899999976,0.3000000119,,2,,,0.5,9,0.9499999881,,,1.200000048,0.6000000238,,,0.5,,,,2.400000095,0.6999999881,,0.8000000119,,,,0.5500000119,,
20032611,2003,Veraguas,,,0.25,,,,0.6000000238,,0.2700000107,1.049999952,5.099999905,,0.25,,,,,,,,0.8999999762,,,,,0.25,,,0.3000000119,0.6999999881,,0.6100000143,0.400000006,0.6200000048,,,,,,,,,0.6499999762,,,,,,,,0.3000000119,,,,0.5,0.5600000024,0.5,,,,,0.200000003,2,,,,0.5,,,,0.25,,0.3300000131,,0.8999999762,0.349999994,,,,,0.200000003,,,
